Wall time,Step,Value
1734124749.4275217,18,-4.611663818359375
1734124794.7550676,47,-2.2024922370910645
1734124818.1873825,62,-0.19002781808376312
1734124819.6880934,63,0.048738133162260056
1734124862.140637,89,4.0228376388549805
1734124885.505262,103,6.0126566886901855
1734124891.7549338,107,6.782110214233398
1734124923.948578,128,13.308525085449219
1734124978.6306894,164,17.79205322265625
1734124990.658201,172,17.819236755371094
1734125019.6494467,191,19.076332092285156
1734125037.6686897,203,19.185211181640625
1734125099.354235,244,20.478961944580078
1734125122.0580168,259,20.695785522460938
1734125158.0245476,282,21.81487274169922
1734125162.502265,285,21.34861183166504
1734125214.1485999,319,22.2552433013916
1734125285.0621233,366,21.920475006103516
1734125315.6853,386,24.138147354125977
1734125339.9417884,402,25.072145462036133
1734125359.6737795,415,26.367919921875
1734125393.7470088,437,26.262710571289062
1734125437.1894145,465,26.928022384643555
1734125452.6042893,475,25.68245506286621
1734125462.6507308,481,27.80965232849121
1734125506.1527104,510,26.515216827392578
1734125540.4487245,533,26.792787551879883
1734125548.1497993,538,27.983219146728516
1734125551.0958323,540,28.729450225830078
1734125575.423285,556,28.16208839416504
1734125584.5449245,562,27.81578254699707
1734125636.015087,596,30.054277420043945
1734125698.7064152,637,30.255422592163086
1734125707.6222672,643,30.868484497070312
1734125709.1749992,644,31.256607055664062
1734125730.2673113,658,32.29902267456055
1734125755.8377557,675,30.40504264831543
1734125825.276651,721,30.114450454711914
1734125890.1953237,764,31.10234260559082
1734125906.5806823,775,32.256874084472656
1734125949.5316997,804,30.482711791992188
1734126030.5017052,857,33.65676498413086
1734126043.971811,866,32.6562614440918
1734126073.9421656,886,34.29863357543945
1734126159.3912473,942,33.230201721191406
1734126245.8641164,999,34.08286666870117
1734126287.5924132,1015,34.47549057006836
1734126304.1069815,1026,35.24055862426758
1734126320.5520697,1037,34.03891372680664
1734126348.9171176,1056,35.7256965637207
1734126371.4861603,1071,34.078346252441406
1734126429.8389409,1109,35.02808380126953
1734126432.923906,1111,36.1540412902832
1734126454.165648,1125,35.85784149169922
1734126465.0744455,1132,35.518192291259766
1734126495.6608622,1152,35.1218376159668
1734126513.4583998,1164,31.91510581970215
