Wall time,Step,Value
1734076900.98513,18,-8.246905326843262
1734076960.2752697,47,-3.4945476055145264
1734077001.3648095,62,-0.6532682776451111
1734077003.3047636,63,-0.5028522610664368
1734077055.0885246,89,3.937954902648926
1734077094.6835086,103,6.708055019378662
1734077102.527646,107,6.567948818206787
1734077144.52169,128,8.37135124206543
1734077227.234524,164,12.453246116638184
1734077243.0957224,172,13.233241081237793
1734077281.370635,191,13.128181457519531
1734077316.2656312,203,13.997872352600098
1734077397.845915,244,15.861682891845703
1734077439.1703131,259,16.30826187133789
1734077484.698869,282,16.872129440307617
1734077490.5251145,285,17.161794662475586
1734077568.925601,319,19.364166259765625
1734077674.1802886,366,23.132766723632812
1734077713.7426524,386,25.109283447265625
1734077756.2582717,402,24.031766891479492
1734077781.6931934,415,27.42709732055664
1734077825.1237257,437,29.457700729370117
1734077890.9570596,465,29.807565689086914
1734077910.6654565,475,29.534700393676758
1734077922.53697,481,30.77800941467285
1734077991.321238,510,31.44957733154297
1734078036.236264,533,31.705472946166992
1734078045.975531,538,32.36579895019531
1734078049.884786,540,32.44175720214844
1734078092.7763221,556,32.85558319091797
1734078104.4247432,562,32.317527770996094
1734078170.555084,596,32.92539978027344
1734078262.6867874,637,30.75455665588379
1734078274.349001,643,33.72758102416992
1734078276.2520707,644,31.638864517211914
1734078315.3979719,658,34.75593566894531
1734078348.731693,675,33.72221374511719
1734078449.6444893,721,36.100685119628906
1734078545.091774,764,33.60215377807617
1734078566.5007708,775,35.7253303527832
1734078634.1035511,804,27.958112716674805
1734078749.0214996,857,33.95164108276367
1734078766.5114567,866,35.52336883544922
1734078805.2519357,886,34.754154205322266
1734078926.1397347,942,35.70265579223633
1734079048.2559628,999,37.62248611450195
1734079090.2584414,1015,34.4910888671875
1734079111.59733,1026,36.428218841552734
1734079132.7527616,1037,35.670963287353516
1734079180.8430412,1056,36.326751708984375
1734079209.6970708,1071,36.27922821044922
1734079294.6961648,1109,37.72223663330078
1734079298.5625162,1111,37.4884033203125
1734079325.4523215,1125,38.10428237915039
1734079338.8180315,1132,36.8089599609375
1734079389.2746248,1152,38.153499603271484
1734079412.4303768,1164,37.18427658081055
1734079431.6700284,1174,37.064292907714844
1734079435.8625138,1176,37.05470657348633
1734079451.47763,1184,36.663978576660156
1734079528.542212,1218,38.61128616333008
1734079605.6816897,1252,37.442691802978516
1734079609.5815187,1254,37.071556091308594
1734079615.1927505,1257,38.04180908203125
1734079634.643921,1267,37.013336181640625
1734079642.3299842,1271,37.58836364746094
1734079757.7577271,1325,38.01837921142578
1734079796.5544655,1345,38.39114761352539
1734079867.4083157,1376,38.65867614746094
1734079957.8302288,1417,39.74078369140625
1734080046.0169706,1457,39.038631439208984
1734080047.905097,1458,40.092811584472656
1734080118.0355353,1494,38.89992141723633
1734080160.331859,1510,39.148677825927734
1734080166.1740096,1513,40.01351547241211
1734080233.6917422,1548,41.056941986083984
1734080250.7286434,1551,40.138797760009766
1734080277.4327176,1565,39.90203857421875
1734080316.0550675,1585,40.01253890991211
1734080336.9985597,1596,40.66289138793945
1734080407.4409177,1627,41.34292221069336
1734080422.6735165,1635,40.34412384033203
1734080501.1533086,1670,39.20473098754883
1734080530.0715299,1685,41.14182662963867
1734080574.8965402,1702,41.333038330078125
1734080578.6761827,1704,41.040985107421875
1734080592.1354332,1711,39.91196823120117
1734080732.3185925,1777,40.34164047241211
1734080876.8939228,1847,41.5482063293457
1734080912.8102047,1860,41.920162200927734
1734080926.2470267,1867,41.60549545288086
1734080987.7524998,1899,43.198524475097656
1734081004.8760266,1902,42.3245849609375
1734081018.0569894,1909,43.35926055908203
1734081077.5101879,1940,41.62928771972656
1734081126.9930665,1960,42.57127380371094
1734081128.9706452,1961,43.32973098754883
1734081163.625127,1979,42.71654510498047
1734081360.627453,2070,42.8165283203125
1734081378.042843,2079,43.113624572753906
1734081397.2588189,2089,41.969573974609375
1734081429.801692,2100,42.23210144042969
1734081661.2322989,2209,42.12376403808594
1734081718.7102113,2239,43.21297836303711
1734081893.388528,2319,42.517539978027344
1734081981.1812449,2359,43.049896240234375
1734082048.322842,2394,42.512393951416016
1734082139.9952323,2436,42.7346305847168
1734082149.5694203,2441,42.67522430419922
1734082186.0975432,2454,42.71031188964844
1734082201.380675,2462,42.2902717590332
1734082206.9956064,2465,43.12733459472656
1734082245.3957515,2485,42.103431701660156
1734082290.941413,2503,42.481285095214844
1734082317.934777,2517,43.420310974121094
1734082342.7879982,2530,43.70711135864258
1734082444.5695972,2577,33.109779357910156
1734082446.509077,2578,32.90011215209961
1734082486.9869769,2599,36.86982727050781
1734082552.2729037,2627,37.4996337890625
1734082567.683618,2635,37.67818069458008
1734082583.1630533,2643,38.47581100463867
1734082673.1647816,2684,41.92365646362305
1734082690.2428098,2693,43.59848403930664
1734082730.155045,2708,42.92623519897461
1734082747.3407075,2717,43.25030517578125
1734082780.0358407,2734,44.07003402709961
1734082791.279193,2740,44.18878936767578
1734082827.0383368,2753,42.56771469116211
1734082828.925371,2754,43.49703598022461
1734082830.824215,2755,43.19645309448242
1734082855.4491353,2768,43.16136932373047
1734082887.8964796,2785,42.79547882080078
1734082950.9293196,2812,42.00169372558594
1734082992.4848142,2834,41.699546813964844
1734083011.9070244,2844,42.45998001098633
1734083055.6361127,2861,43.553218841552734
1734083181.2775323,2921,45.067779541015625
1734083251.2061737,2952,41.52838134765625
1734083270.3868852,2962,43.95893859863281
1734083291.3416967,2973,43.77544021606445
1734083418.3857262,3034,43.799869537353516
1734083522.5044599,3083,43.14276123046875
1734083524.3964405,3084,44.40888595581055
1734083572.9787416,3104,43.43003463745117
1734083574.8924215,3105,43.674415588378906
1734083603.6484632,3120,43.68934631347656
1734083651.4211044,3145,43.66775894165039
1734083715.7145157,3173,44.25029373168945
1734083751.829129,3192,44.26979446411133
1734083765.4519076,3199,42.91796875
1734083810.8621483,3217,42.2783088684082
1734083816.440496,3220,42.93621826171875
1734083856.5724754,3241,43.34722137451172
1734083913.6398907,3265,43.72482681274414
1734083919.2770195,3268,43.96480941772461
1734084002.8225765,3306,43.6920051574707
1734084108.4773307,3356,44.777626037597656
1734084212.325977,3404,43.66587448120117
1734084331.6761446,3461,43.87142562866211
1734084373.1341813,3483,43.232818603515625
1734084375.0645351,3484,43.44490432739258
1734084388.429825,3491,43.26708984375
1734084417.3272212,3500,43.52116394042969
1734084468.9122481,3526,43.8281135559082
1734084558.1238856,3566,44.11281967163086
1734084563.8778849,3569,44.6823616027832
1734084637.7721617,3600,44.697689056396484
1734084668.2540822,3616,44.366485595703125
1734084751.8393195,3654,43.25666427612305
1734084757.5256097,3657,44.02586364746094
1734084765.2228458,3661,44.038841247558594
1734084778.4750865,3668,43.58295822143555
1734084784.3087287,3671,43.887474060058594
1734084820.2528129,3690,43.95195388793945
1734084874.0977943,3712,43.852115631103516
1734084978.5695717,3761,43.365516662597656
1734085018.82197,3782,44.85318374633789
1734085156.074945,3848,42.06076431274414
1734085171.6510522,3850,41.684234619140625
1734085208.008138,3869,43.4247932434082
1734085282.126746,3902,43.69004821777344
