Wall time,Step,Value
1733944095.951844,18,-6.075045108795166
1733944177.2110379,47,-3.377267837524414
1733944227.8998222,62,-1.654141902923584
1733944230.6504803,63,-1.348512053489685
1733944302.3278067,89,3.2706804275512695
1733944350.1054463,103,7.990545749664307
1733944361.1086752,107,8.7787446975708
1733944419.3321126,128,10.892403602600098
1733944527.9095833,164,13.122499465942383
1733944549.9749317,172,13.850217819213867
1733944602.5634363,191,14.856721878051758
1733944644.927337,203,15.270830154418945
1733944758.346933,244,16.510299682617188
1733944808.7730503,259,17.478130340576172
1733944872.1349473,282,18.282608032226562
1733944880.3803675,285,18.513792037963867
1733944983.3354917,319,20.051504135131836
1733945121.5723815,366,23.000198364257812
1733945176.4580464,386,25.299936294555664
1733945229.3265395,402,27.717010498046875
1733945264.8885975,415,28.404430389404297
1733945325.1478598,437,28.127655029296875
1733945410.6653957,465,31.08146095275879
1733945438.0967028,475,30.44084358215332
1733945454.5195768,481,25.813188552856445
1733945542.7130363,510,33.318824768066406
1733945605.2758052,533,34.53014373779297
1733945618.8455553,538,34.26834487915039
1733945624.2628863,540,35.2398681640625
1733945676.871929,556,29.482820510864258
1733945693.1812553,562,34.43402862548828
1733945785.6882553,596,32.36753845214844
1733945906.2859461,637,36.9605598449707
1733945922.6040995,643,34.02674865722656
1733945925.321655,644,34.24213790893555
1733945972.395013,658,36.88155746459961
1733946018.5591168,675,36.44329833984375
1733946152.7560446,721,36.28179168701172
1733946278.8107824,764,37.600135803222656
1733946308.6530836,775,37.83200454711914
1733946396.5097616,804,36.49140930175781
1733946551.9928436,857,12.298738479614258
1733946576.9769006,866,14.87465763092041
1733946632.5311663,886,19.455270767211914
1733946796.361411,942,25.051424026489258
1733946962.2413015,999,25.773983001708984
1733947015.2068694,1015,29.58108901977539
1733947045.3706481,1026,29.707185745239258
1733947075.6057281,1037,30.68596839904785
1733947136.4756734,1056,33.86703109741211
1733947177.746864,1071,33.352989196777344
1733947290.1858752,1109,36.62056350708008
