Wall time,Step,Value
1734085346.836915,3936,1.0
1734085432.2281802,3975,1.0
1734085514.2488658,4012,1.0
1734085518.026584,4014,1.0
1734085535.1670845,4023,1.0
1734085556.083083,4034,1.0
1734085567.4873538,4040,1.0
1734085581.0429318,4047,1.0
1734085663.9043894,4084,1.0
1734085723.0587206,4109,1.0
1734085734.6966503,4115,1.0
1734085746.474445,4121,1.0
1734085752.2134695,4124,1.0
1734085794.5465617,4146,1.0
1734085872.1669192,4181,1.0
1734085893.7807782,4192,1.0
1734085971.1080155,4227,1.0
1734086039.1118693,4257,1.0
1734086167.0197136,4318,1.0
1734086185.9050472,4328,1.0
1734086426.6859224,4443,1.0
1734086458.8836558,4454,1.0
1734086604.941008,4525,1.0
1734086623.9094384,4535,1.0
1734086631.5131378,4539,1.0
1734086690.5196517,4564,1.0
1734086793.0092795,4612,1.0
1734086863.6075804,4649,1.0
1734086945.75424,4686,1.0
1734086953.2129953,4690,1.0
1734086957.2225382,4692,1.0
1734086968.5404778,4698,1.0
1734086996.7682962,4707,1.0
1734087040.930921,4730,1.0
1734087141.7481618,4777,1.0
1734087254.2848022,4830,1.0
1734087258.136389,4832,1.0
1734087263.893785,4835,1.0
1734087265.8700805,4836,1.0
1734087281.0685806,4844,1.0
1734087364.8783169,4882,1.0
1734087429.095108,4910,1.0
1734087465.2768986,4929,1.0
1734087486.736535,4940,1.0
1734087504.0178485,4949,1.0
1734087574.3355076,4980,1.0
1734087595.9581037,4991,1.0
1734087714.7173102,5047,1.0
1734087762.371313,5066,1.0
1734087787.5237513,5079,1.0
1734087804.774475,5088,1.0
1734087808.5250745,5090,1.0
1734087899.714208,5132,1.0
1734087907.2741094,5136,1.0
1734087946.5006661,5151,1.0
1734087952.1658165,5154,1.0
1734087954.0168276,5155,1.0
1734088014.969755,5187,1.0
1734088050.9696004,5200,1.0
1734088098.5576625,5225,1.0
1734088123.1174233,5238,1.0
1734088162.9064639,5253,1.0
1734088180.2095933,5262,1.0
1734088185.8464458,5265,1.0
1734088243.4062288,5295,1.0
1734088300.3450015,5319,1.0
1734088306.2740848,5322,1.0
1734088310.0228171,5324,1.0
1734088394.0476308,5362,1.0
1734088409.2722168,5370,1.0
1734088483.1402338,5403,1.0
1734088563.9012606,5445,1.0
1734088592.0737512,5454,1.0
1734088601.5555353,5459,1.0
1734088708.1265044,5509,1.0
1734088731.0251164,5521,1.0
1734088830.3368049,5567,1.0
1734089044.332604,5667,1.0
1734089175.7293897,5730,1.0
1734089240.9827483,5758,1.0
1734089284.9707956,5781,1.0
1734089394.236162,5832,1.0
1734089470.1620078,5866,1.0
1734089495.3584847,5879,1.0
1734089638.8828194,5948,1.0
1734089665.6395638,5956,1.0
1734089713.3978598,5981,1.0
1734089743.879914,5997,1.0
1734089777.6301208,6009,1.0
1734089873.164812,6053,1.0
1734089920.7753105,6078,1.0
1734089995.7364216,6111,1.0
1734089999.547295,6113,1.0
1734090037.7126353,6133,1.0
1734090047.1576264,6138,1.0
1734090050.9651701,6140,1.0
1734090054.8219142,6142,1.0
1734090236.9396298,6225,1.0
1734090271.6007857,6243,1.0
1734090351.974597,6279,1.0
1734090403.189179,6300,1.0
1734090464.726611,6332,1.0
1734090468.7322893,6334,1.0
